district name;district id;Число избирателей, включенных в список избирателей ;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней в переносных ящиках для голосования;Число бюллетеней в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;Бабурин Сергей Николаевич;Грудинин Павел Николаевич;Жириновский Владимир Вольфович;Путин Владимир Владимирович;Собчак Ксения Анатольевна;Сурайкин Максим Александрович;Титов Борис Юрьевич;Явлинский Григорий Алексеевич
Самарская область;100100084849187;2436024;2272088;0;1522108;107663;642292;107656;1520840;21460;1607036;27;2;10805;189314;98007;1234759;32392;11543;12324;17892
Саратовская область;100100084849188;1896735;1838300;0;1149182;112030;577062;112026;1148504;10736;1249794;35;9;7436;148585;66254;987373;15067;8326;7485;9268
Сахалинская область;100100084849189;374297;361348;3359;215721;10059;132208;13418;215637;3942;225113;1;0;1586;41201;20075;153289;3874;1496;1654;1938
Свердловская область;100100084849190;3345221;3166041;3210;2003456;79001;1080366;82161;2003002;27282;2057881;8;0;15154;241365;141683;1555532;44258;13317;19428;27144
Смоленская область;100100084849191;773021;739888;0;437716;35880;266292;35878;437492;5399;467971;0;0;3894;62351;36894;347859;6724;3519;3304;3426
Тамбовская область;100100084849192;840040;800893;0;532598;72585;195710;72582;532409;5652;599339;0;0;3137;55183;31418;494966;5311;3593;2521;3210
Тверская область;100100084849193;1070221;990731;0;567381;48898;374450;48895;567046;6027;609914;2;0;4718;77050;43421;459198;10144;4902;4846;5635
Томская область;100100084849194;778244;678897;2003;439041;20226;217627;22215;438713;5307;455621;0;0;2976;70163;31466;328296;10091;2757;3986;5886
Тульская область;100100084849195;1194044;1050581;0;730170;89645;230766;89612;728766;8333;810045;0;0;5692;77552;48748;648117;11689;5379;5331;7537
Тюменская область;100100084849196;1068796;1031045;2951;807397;33204;187489;36153;806945;7152;835946;4;0;4543;69294;64367;672385;11723;4249;4577;4808
Ульяновская область;100100084849197;1000022;953291;0;590660;52700;309931;52691;590457;7023;636125;0;0;3972;94809;40028;477654;7146;4752;4197;3567
Челябинская область;100100084849198;2632596;2438638;0;1641894;106530;690200;106525;1641126;27234;1720417;16;2;13468;227134;121670;1275822;31326;13243;16181;21573
Ярославская область;100100084849199;1026447;938364;0;606776;51432;280156;51428;606512;6636;651304;0;0;5329;85256;49621;472666;15607;4377;6710;11738
город Москва;100100084849200;7543682;6191308;0;4348576;172779;1669889;172356;4341791;66234;4447913;79;15;43298;563429;211890;3199214;184144;32639;70301;142998
город Санкт-Петербург;100100084849201;3632398;3394221;1795;2248088;70251;1073986;71976;2241482;28951;2284507;114;13;20450;209112;94569;1735236;100059;15295;36254;73532
город Севастополь;100100084849211;339010;288290;633;233869;7674;46110;8279;233777;2040;240016;5;1;576;8698;6988;218303;3083;569;896;903
Еврейская автономная область;100100084849202;128844;120568;106;73398;4123;42941;4229;73381;1331;76279;0;0;501;14066;7387;52374;771;404;407;369
Ненецкий автономный округ;100100084849203;39470;33688;6116;18414;579;8579;6695;18412;267;24840;0;0;185;3397;2482;17863;448;135;172;158
Ханты-Мансийский автономный округ - Югра;100100084849204;1130343;1095884;26633;745638;15804;307809;42426;745474;10824;777076;0;0;3916;94785;53569;600404;10884;4095;4363;5060
Чукотский автономный округ;100100084849205;33541;32298;2531;24193;874;4700;3405;24186;293;27298;0;0;115;1616;2018;22709;358;142;180;160
Ямало-Ненецкий автономный округ;100100084849206;370823;372171;41135;295648;4008;31380;45143;295540;2616;338067;0;0;1052;19488;19409;291409;2394;1794;1154;1367
Город Байконур (Республика Казахстан);100100084849218;14575;12800;0;9491;168;3141;168;9491;104;9555;0;0;32;1026;628;7568;130;51;50;70
Территория за пределами РФ;100100084849217;483957;1408383;53482;403108;18026;933738;71484;402882;5801;468565;29;0;2010;23871;8224;403306;19203;1439;3079;7433
