name;Число избирателей, внесенных в список избирателей на момент окончания голосования;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число открепительных удостоверений, полученных участковой избирательной комиссией;Число открепительных удостоверений, выданных на избирательном участке до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке;Число погашенных неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией;Число утраченных открепительных удостоверений;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении;Бриних Валерий Александрович;Гукасян Сергей Георгиевич;Коновалова Нина Николаевна;Лобода Александр Павлович;Огиенко Денис Сергеевич;Резник Владислав Матусович;Салов Евгений Иванович
Астраханская область – Астраханский;745816;677918;0;252965;15616;409337;15613;252199;10955;256857;14640;11720;12283;2920;4180;0;0;0;30281;17543;3263;6236;4690;103739;2848;88257
Брянская область – Брянский;503599;441951;0;264001;26595;151355;26595;263764;6773;283586;3830;2377;1354;1453;1302;0;0;0;3973;29684;25644;166146;2450;3191;3563;27840;2365;9640;9090
Ивановская область – Ивановский;413022;393924;98;140527;25791;227508;25888;140450;5275;161063;7529;5188;3097;2341;964;0;0;0;2451;4776;6383;3618;2617;7180;12899;28974;68291;23874
Краснодарский край – Туапсинский;505316;487927;44;303476;34645;149762;34436;302851;5119;332168;8419;5243;3655;3176;1160;0;0;0;7195;15891;14006;237852;28206;21794;7224
Краснодарский край – Тихорецкий;474447;467432;0;254606;36665;176161;36665;254503;4135;287033;5441;4394;1523;1047;769;0;0;0;8955;197102;15510;6873;28336;22848;7409
Приморский край – Владивостокский;518353;467545;310;178132;5681;283422;5990;177062;9291;173761;13363;4201;3050;9162;1223;0;0;0;21498;24851;7111;6209;12546;15034;72367;14145
Приморский край – Арсеньевский;487685;462140;437;182059;7800;271844;8237;181786;12875;177148;13356;3552;2336;9804;1420;0;0;0;41572;5049;30778;13825;71190;5814;8920
Калининградская область – Калининградский;389764;372452;66;167329;5045;200004;5099;166910;9491;162518;4141;1846;1655;2295;928;0;8;0;22553;3963;14173;4801;8302;7147;66994;23672;10913
Ставропольский край – Ставропольский;497275;443770;0;197060;24457;222251;24445;196840;10621;210664;4212;2284;1370;1928;387;0;2;0;5120;34759;17207;109797;3477;3054;2893;7931;4292;22134
Ставропольский край – Невинномысский;465414;418657;300;197171;13732;207454;14031;196516;10534;200013;3914;2041;1456;1873;171;0;0;0;3951;28039;15543;27063;4565;101595;7911;4406;3352;3588
